STATION_ID,DURATION,DATE TIME,OBS DATE,STORAGE,DATA_FLAG,UNITS,INFLOW,OUTFLOW
BER,D,20010101 0000,20010101 0000,1363258,,AF,-151,95
BER,D,20010102 0000,20010102 0000,1363077,,AF,17,95
BER,D,20010103 0000,20010103 0000,1362897,,AF,12,83
BER,D,20010104 0000,20010104 0000,1362716,,AF,-3,75
BER,D,20010105 0000,20010105 0000,1362535,,AF,6,84
BER,D,20010106 0000,20010106 0000,1362174,,AF,-69,93
BER,D,20010107 0000,20010107 0000,1362174,,AF,128,95
BER,D,20010108 0000,20010108 0000,1362716,,AF,381,95
BER,D,20010109 0000,20010109 0000,1362354,,AF,-75,95
BER,D,20010110 0000,20010110 0000,1364523,,AF,1177,76
BER,D,20010111 0000,20010111 0000,1368500,,AF,2068,63
BER,D,20010112 0000,20010112 0000,1370850,,AF,1255,70
BER,D,20010113 0000,20010113 0000,1371211,,AF,259,70
BER,D,20010114 0000,20010114 0000,1371753,,AF,356,70
BER,D,20010115 0000,20010115 0000,1371392,,AF,-79,70
BER,D,20010116 0000,20010116 0000,1371030,,AF,-28,88
BER,D,20010117 0000,20010117 0000,1371030,,AF,140,100
BER,D,20010118 0000,20010118 0000,1370488,,AF,-187,66
BER,D,20010119 0000,20010119 0000,1370669,,AF,223,85
BER,D,20010120 0000,20010120 0000,1370307,,AF,-34,122
BER,D,20010121 0000,20010121 0000,1370127,,AF,3,67
BER,D,20010122 0000,20010122 0000,1370127,,AF,52,45
BER,D,20010123 0000,20010123 0000,1370669,,AF,338,45
BER,D,20010124 0000,20010124 0000,1371392,,AF,423,45
BER,D,20010125 0000,20010125 0000,1374103,,AF,1460,73
BER,D,20010126 0000,20010126 0000,1375730,,AF,940,120
BER,D,20010127 0000,20010127 0000,1376272,,AF,372,92
BER,D,20010128 0000,20010128 0000,1376272,,AF,85,45
BER,D,20010129 0000,20010129 0000,1376995,,AF,430,45
BER,D,20010130 0000,20010130 0000,1377176,,AF,170,45
BER,D,20010131 0000,20010131 0000,1377176,,AF,85,45
BER,D,20010201 0000,20010201 0000,1377176,,AF,88,59
BER,D,20010202 0000,20010202 0000,1377176,,AF,104,75
BER,D,20010203 0000,20010203 0000,1377176,,AF,98,75
BER,D,20010204 0000,20010204 0000,1377357,,AF,189,75
BER,D,20010205 0000,20010205 0000,1376995,,AF,-62,75
BER,D,20010206 0000,20010206 0000,1377176,,AF,224,75
BER,D,20010207 0000,20010207 0000,1376634,,AF,-163,75
BER,D,20010208 0000,20010208 0000,1376453,,AF,25,58
BER,D,20010209 0000,20010209 0000,1377900,,AF,826,44
BER,D,20010210 0000,20010210 0000,1379717,,AF,956,40
BER,D,20010211 0000,20010211 0000,1382625,,AF,1523,40
BER,D,20010212 0000,20010212 0000,1385715,,AF,1604,40
BER,D,20010213 0000,20010213 0000,1386987,,AF,693,40
BER,D,20010214 0000,20010214 0000,1387895,,AF,533,40
BER,D,20010215 0000,20010215 0000,1388441,,AF,344,40
BER,D,20010216 0000,20010216 0000,1388986,,AF,338,40
BER,D,20010217 0000,20010217 0000,1390076,,AF,619,40
BER,D,20010218 0000,20010218 0000,1391894,,AF,992,40
BER,D,20010219 0000,20010219 0000,1395710,,AF,1981,40
BER,D,20010220 0000,20010220 0000,1405213,,AF,4866,40
BER,D,20010221 0000,20010221 0000,1412340,,AF,3639,40
BER,D,20010222 0000,20010222 0000,1418945,,AF,3411,40
BER,D,20010223 0000,20010223 0000,1426111,,AF,3676,40
BER,D,20010224 0000,20010224 0000,1431256,,AF,2663,40
BER,D,20010225 0000,20010225 0000,1442517,,AF,5735,40
BER,D,20010226 0000,20010226 0000,1446581,,AF,2095,40
BER,D,20010227 0000,20010227 0000,1448982,,AF,1283,43
BER,D,20010228 0000,20010228 0000,1450460,,AF,879,45
BER,D,20010301 0000,20010301 0000,1451757,,AF,806,50
BER,D,20010302 0000,20010302 0000,1453057,,AF,736,55
BER,D,20010303 0000,20010303 0000,1454171,,AF,684,71
BER,D,20010304 0000,20010304 0000,1466055,,AF,6071,80
BER,D,20010305 0000,20010305 0000,1476303,,AF,5260,80
BER,D,20010306 0000,20010306 0000,1479663,,AF,1787,80
BER,D,20010307 0000,20010307 0000,1481530,,AF,1060,80
BER,D,20010308 0000,20010308 0000,1483770,,AF,1267,80
BER,D,20010309 0000,20010309 0000,1485077,,AF,817,80
BER,D,20010310 0000,20010310 0000,1485637,,AF,465,80
BER,D,20010311 0000,20010311 0000,1486197,,AF,440,80
BER,D,20010312 0000,20010312 0000,1487130,,AF,621,80
BER,D,20010313 0000,20010313 0000,1487690,,AF,433,80
BER,D,20010314 0000,20010314 0000,1488063,,AF,333,80
BER,D,20010315 0000,20010315 0000,1488813,,AF,529,80
BER,D,20010316 0000,20010316 0000,1489188,,AF,321,80
BER,D,20010317 0000,20010317 0000,1489563,,AF,340,80
BER,D,20010318 0000,20010318 0000,1489939,,AF,315,80
BER,D,20010319 0000,20010319 0000,1489563,,AF,-45,80
BER,D,20010320 0000,20010320 0000,1489563,,AF,210,139
BER,D,20010321 0000,20010321 0000,1489939,,AF,441,173
BER,D,20010322 0000,20010322 0000,1489939,,AF,219,167
BER,D,20010323 0000,20010323 0000,1489939,,AF,274,170
BER,D,20010324 0000,20010324 0000,1490502,,AF,538,170
BER,D,20010325 0000,20010325 0000,1490314,,AF,107,170
BER,D,20010326 0000,20010326 0000,1490314,,AF,254,170
BER,D,20010327 0000,20010327 0000,1490126,,AF,150,180
BER,D,20010328 0000,20010328 0000,1490126,,AF,289,198
BER,D,20010329 0000,20010329 0000,1489751,,AF,208,287
BER,D,20010330 0000,20010330 0000,1489376,,AF,238,317
BER,D,20010331 0000,20010331 0000,1489001,,AF,207,292
BER,D,20010401 0000,20010401 0000,1488625,,AF,164,268
BER,D,20010402 0000,20010402 0000,1487690,,AF,-105,255
BER,D,20010403 0000,20010403 0000,1487130,,AF,59,255
BER,D,20010404 0000,20010404 0000,1486757,,AF,172,274
BER,D,20010405 0000,20010405 0000,1486197,,AF,70,284
BER,D,20010406 0000,20010406 0000,1486010,,AF,260,237
BER,D,20010407 0000,20010407 0000,1485637,,AF,25,188
BER,D,20010408 0000,20010408 0000,1485263,,AF,23,175
BER,D,20010409 0000,20010409 0000,1485077,,AF,106,175
BER,D,20010410 0000,20010410 0000,1484890,,AF,167,187
BER,D,20010411 0000,20010411 0000,1484330,,AF,44,209
BER,D,20010412 0000,20010412 0000,1483770,,AF,55,232
BER,D,20010413 0000,20010413 0000,1483023,,AF,-2,270
BER,D,20010414 0000,20010414 0000,1482463,,AF,105,307
BER,D,20010415 0000,20010415 0000,1481903,,AF,118,345
BER,D,20010416 0000,20010416 0000,1481343,,AF,152,360
BER,D,20010417 0000,20010417 0000,1480783,,AF,206,383
BER,D,20010418 0000,20010418 0000,1480223,,AF,248,425
BER,D,20010419 0000,20010419 0000,1479290,,AF,51,416
BER,D,20010420 0000,20010420 0000,1479477,,AF,532,364
BER,D,20010421 0000,20010421 0000,1479103,,AF,136,307
BER,D,20010422 0000,20010422 0000,1478170,,AF,-132,295
BER,D,20010423 0000,20010423 0000,1478170,,AF,387,295
BER,D,20010424 0000,20010424 0000,1477610,,AF,157,341
BER,D,20010425 0000,20010425 0000,1477050,,AF,185,375
